City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
658,Songkhla,TH,6.8333,100.6667,75.25,96,100,3.94,overcast clouds
659,Salingogon,PH,13.4346,123.1905,76.57,89,38,2.06,scattered clouds
660,Gigmoto,PH,13.7796,124.39,80.24,81,97,2.8,overcast clouds
661,Vangaindrano,MG,-23.35,47.6,65.32,93,14,4.47,light rain
662,Banyo,CM,6.75,11.8167,66.15,95,100,2.24,overcast clouds
663,Cockburn Town,TC,21.4612,-71.1419,84.16,65,40,9.22,scattered clouds
664,Sioux Falls,US,43.55,-96.7003,76.86,65,75,0.0,broken clouds
665,Lumut,MY,4.2323,100.6298,77.02,88,20,0.0,few clouds
666,Taksimo,RU,56.3444,114.8794,65.14,64,100,2.15,overcast clouds
667,Nyandoma,RU,61.669,40.1991,65.77,62,59,1.28,broken clouds
668,Trofors,NO,65.5333,13.4063,64.27,76,97,2.84,overcast clouds
669,Tawang,IN,27.5833,91.8667,56.3,97,100,1.23,overcast clouds
670,Mazamari,PE,-11.3258,-74.5308,82.08,59,71,2.64,broken clouds
671,Srednekolymsk,RU,67.45,153.6833,64.38,58,17,3.24,few clouds
672,Kharp,RU,66.8014,65.8081,50.79,65,100,2.82,overcast clouds
673,Amuntai,ID,-2.4177,115.2494,71.24,97,98,1.45,moderate rain
674,Longhua,CN,23.6137,114.1919,78.62,88,15,1.05,few clouds
675,Camacha,PT,33.0833,-16.3333,67.42,73,75,14.97,broken clouds
676,Oga,IT,46.4631,10.347,48.88,90,60,1.83,broken clouds
677,Kumluca,TR,36.3703,30.2869,85.32,48,0,3.49,clear sky
678,Barra Patuca,HN,15.8,-84.2833,83.88,74,80,12.62,broken clouds
679,Tocopilla,CL,-22.092,-70.1979,64.31,70,30,12.46,scattered clouds
680,Barillas,GT,15.8036,-91.3158,80.94,90,86,4.25,overcast clouds
681,Whitianga,NZ,-36.8333,175.7,49.01,80,12,5.41,few clouds
682,Angoram,PG,-4.0625,144.0661,73.4,98,100,2.3,overcast clouds
683,Mpika,ZM,-11.8343,31.4529,58.12,55,5,5.99,clear sky
684,Yueyang,CN,29.3333,113.0919,82.6,65,99,11.05,overcast clouds
685,Pudozh,RU,61.8099,36.5345,67.37,64,79,1.41,broken clouds
686,Conceicao Do Araguaia,BR,-8.2578,-49.2647,85.64,31,3,1.03,clear sky
687,Huarmey,PE,-10.0681,-78.1522,68.7,73,5,12.46,clear sky
688,Machaneng,BW,-23.1862,27.4886,52.81,72,31,14.18,scattered clouds
689,Bezhetsk,RU,57.7851,36.6965,66.63,88,100,4.38,overcast clouds
690,Batemans Bay,AU,-35.7167,150.1833,57.2,84,25,5.57,scattered clouds
691,Puerto Del Rosario,ES,28.5004,-13.8627,76.75,57,0,17.27,clear sky
692,Paciran,ID,-6.8767,112.3761,75.04,78,100,8.39,overcast clouds
693,Traipu,BR,-9.9706,-37.0033,71.31,93,5,5.99,clear sky
694,Khani,GE,41.9563,42.9566,65.77,93,100,2.51,overcast clouds
695,Poya,NC,-21.35,165.15,67.33,68,30,7.18,scattered clouds
696,Maria Aurora,PH,15.7967,121.4737,74.3,96,98,2.48,overcast clouds
697,Warri,NG,5.5167,5.75,75.78,88,100,4.0,overcast clouds
698,Smidovich,RU,48.6,133.8167,71.11,92,100,7.94,overcast clouds
699,Sydney,AU,-33.8679,151.2073,60.24,81,0,3.0,clear sky
700,Biryusinsk,RU,55.9634,97.8235,60.12,73,22,1.45,few clouds
701,Corinto,GR,37.9407,22.9573,88.68,47,0,1.5,clear sky
702,Celestun,MX,20.8667,-90.4,85.48,69,97,17.52,overcast clouds
703,Hit,IQ,33.6416,42.8251,94.57,15,0,11.45,clear sky
