City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
305,Maltahohe,NA,-24.8333,16.9833,39.72,29,0,8.97,clear sky
306,Buala,SB,-8.145,159.5921,81.73,80,97,10.29,overcast clouds
307,Kieta,PG,-6.2167,155.6333,81.52,82,47,10.36,light rain
308,Karratha,AU,-20.7377,116.8463,65.08,58,25,12.75,scattered clouds
309,Tura,IN,25.5198,90.2201,73.27,96,99,3.65,overcast clouds
310,Durban,ZA,-29.8579,31.0292,56.01,80,47,3.0,scattered clouds
311,Bilibino,RU,68.0546,166.4372,54.09,79,100,1.41,overcast clouds
312,Vrangel,RU,42.7297,133.0839,66.81,94,1,3.02,clear sky
313,Calabozo,VE,8.9242,-67.4293,92.34,40,48,4.36,scattered clouds
314,Caravelas,BR,-17.7125,-39.2481,71.31,85,0,4.47,clear sky
315,Villamontes,BO,-21.25,-63.5,80.49,46,62,6.44,broken clouds
316,Amuntai,ID,-2.4177,115.2494,71.24,97,98,1.45,moderate rain
317,Umaria,IN,23.5333,80.8333,80.06,68,48,4.25,scattered clouds
318,Acarau,BR,-2.8856,-40.12,79.86,78,91,17.38,overcast clouds
319,Saint-Leu,RE,-21.15,55.2833,67.06,74,13,6.87,few clouds
320,Iralaya,HN,15.0,-83.2333,87.89,74,45,13.87,scattered clouds
321,Luanda,AO,-8.8368,13.2343,69.76,87,93,11.34,overcast clouds
322,Zholymbet,KZ,51.7433,71.7122,46.78,87,100,16.71,overcast clouds
323,El Dovio,CO,4.5079,-76.2362,77.31,83,87,5.44,overcast clouds
324,Lazaro Cardenas,MX,17.9583,-102.2,85.53,70,91,6.58,overcast clouds
325,Srednekolymsk,RU,67.45,153.6833,64.38,58,17,3.24,few clouds
326,Olinda,BR,-8.0089,-34.8553,71.33,88,75,13.8,broken clouds
327,Tanete,ID,-3.9443,119.7848,73.04,95,99,4.14,overcast clouds
328,Shiyan,CN,32.6475,110.7781,76.51,89,66,1.72,broken clouds
329,Port Augusta,AU,-32.5,137.7667,48.34,71,76,7.65,broken clouds
330,Fountain Hills,US,33.6117,-111.7174,97.14,42,1,4.0,clear sky
331,Bonito,BR,-21.1211,-56.4819,80.89,32,68,4.45,broken clouds
332,Saldanha,ZA,-33.0117,17.9442,42.85,62,10,4.52,clear sky
333,Banepa,NP,27.6298,85.5214,70.12,88,75,5.75,broken clouds
334,Mandalgovi,MN,45.7625,106.2708,64.4,51,35,7.43,scattered clouds
335,Blairmore,CA,49.6,-114.4353,85.89,18,2,10.92,clear sky
336,Bahir Dar,ET,11.5936,37.3908,60.24,96,100,4.59,heavy intensity rain
337,Praxedis Guerrero,MX,31.3667,-106.0167,97.81,20,4,3.98,clear sky
338,Yellowknife,CA,62.456,-114.3525,78.3,49,100,8.32,overcast clouds
