City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
404,Portland,US,86.9,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
408,Bubaque,GW,80.37,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
409,Tiznit,MA,75.9,scattered clouds,29.5833,-9.5,
410,Evanston,US,83.1,overcast clouds,42.0411,-87.6901,Hilton Garden Inn Chicago North Shore/Evanston
412,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
414,Ocos,GT,89.78,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
415,Naze,JP,78.69,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
418,Sandakan,MY,78.48,light rain,5.8402,118.1179,Hotel Sandakan
419,Benghazi,LY,80.83,clear sky,32.1167,20.0667,Tibesti Hotel
421,Thinadhoo,MV,82.2,overcast clouds,0.5333,72.9333,
423,Ierapetra,GR,81.45,clear sky,35.01,25.7353,Cretan Villa Hotel & Apartments in Ierapetra Crete.
437,Ipora,BR,76.73,clear sky,-16.4419,-51.1178,Oásis Motel
438,El Obraje,HN,88.23,overcast clouds,14.0,-86.4333,Mack Führer
443,Maryville,US,87.08,overcast clouds,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
445,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
447,Korla,CN,75.18,scattered clouds,41.7597,86.1469,Gulisitan Hotel
451,Billings,US,85.28,few clouds,45.7833,-108.5007,Best Western Plus Clocktower Inn
453,Salalah,OM,82.49,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
456,Jha Jha,IN,82.65,overcast clouds,24.7667,86.3667,Barnwal Dharmshala
457,Nagato,JP,78.71,clear sky,34.3833,131.2,いそう庵
458,Kijang,KR,78.53,broken clouds,35.2442,129.2139,Samyang Beach Villa
459,Pristina,XK,79.97,clear sky,42.6727,21.1669,Hotel Real
460,Luohe,CN,78.8,overcast clouds,33.5717,114.0353,BNB 29-Tunxi Old Street Branch
461,Luganville,VU,78.28,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
462,Agucadoura,PT,78.24,overcast clouds,41.4318,-8.7804,Varzinn Hotel
463,Itarema,BR,79.43,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
465,Rurrenabaque,BO,85.89,scattered clouds,-14.4413,-67.5278,Casa de Campo
468,Envira,BR,84.51,broken clouds,-7.3,-70.2167,
