City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Nouadhibou,MR,2021-07-14 14:51:59,20.931,-17.0347,78.78,65,10,16.11
110,Kamenka,RU,2021-07-14 14:51:59,51.3223,42.7678,81.64,49,66,4.34
111,Churapcha,RU,2021-07-14 14:52:00,62.0025,132.4325,61.72,69,0,7.36
112,Khatanga,RU,2021-07-14 14:52:00,71.9667,102.5,43.77,66,100,16.31
113,Cognac,FR,2021-07-14 14:52:00,45.5,-0.25,74.17,68,20,16.11
114,Buraydah,SA,2021-07-14 14:49:50,26.326,43.975,111.65,8,45,8.43
115,Puerto Ayora,EC,2021-07-14 14:52:01,-0.7393,-90.3518,75.16,78,84,12.35
116,Bengkulu,ID,2021-07-14 14:52:01,-3.8004,102.2655,76.66,72,100,4.16
117,Vardo,NO,2021-07-14 14:52:02,70.3705,31.1107,55.15,87,75,14.97
118,Vila Franca Do Campo,PT,2021-07-14 14:52:02,37.7167,-25.4333,73.81,65,1,6.93
119,Yabrud,SY,2021-07-14 14:52:02,33.9674,36.6574,91.06,21,0,7.29
120,Clyde River,CA,2021-07-14 14:52:03,70.4692,-68.5914,46.63,76,90,5.75
121,Una,IN,2021-07-14 14:52:03,20.8167,71.0333,82.35,82,54,14.9
122,Sioux Lookout,CA,2021-07-14 14:52:03,50.1001,-91.917,66.58,68,40,0.0
123,Cizre,TR,2021-07-14 14:52:04,37.3272,42.1903,105.78,10,0,8.16
124,Kropotkin,RU,2021-07-14 14:52:04,45.4375,40.5756,87.73,32,0,9.78
125,Les Cayes,HT,2021-07-14 14:52:04,18.2,-73.75,85.64,65,14,6.2
126,Karratha,AU,2021-07-14 14:52:05,-20.7377,116.8463,72.03,43,83,9.22
127,San Patricio,US,2021-07-14 14:52:05,28.017,-97.5169,86.88,68,34,6.51
128,Pauini,BR,2021-07-14 14:52:05,-7.7136,-66.9764,91.44,40,3,1.66
129,Albufeira,PT,2021-07-14 14:52:06,37.0882,-8.2503,76.84,51,0,8.99
130,Walvis Bay,NA,2021-07-14 14:52:06,-22.9575,14.5053,79.75,18,0,14.97
131,Ulaanbaatar,MN,2021-07-14 14:52:06,47.9077,106.8832,60.93,82,20,2.24
132,Tasiilaq,GL,2021-07-14 14:52:07,65.6145,-37.6368,40.91,94,100,2.24
133,Beruwala,LK,2021-07-14 14:52:07,6.4788,79.9828,80.1,85,100,7.9
134,Ternate,ID,2021-07-14 14:52:07,0.8,127.4,80.44,77,100,1.39
135,Airai,TL,2021-07-14 14:52:08,-8.9266,125.4092,56.97,90,98,3.15
136,Victoria,HK,2021-07-14 14:48:53,22.2855,114.1577,88.32,78,17,5.99
137,Aljezur,PT,2021-07-14 14:52:08,37.3191,-8.8033,76.84,51,3,8.59
